dong_xe,gia,hop_so,kieu_dang,km_da_di,mau_xe,nhien_lieu,so_cho_ngoi,so_cua,tinh_trang,xuat_xu
Bán tải / Pickup,Xe	Ford Ranger	XLS 2.2L 4x2 AT	2022	- 645 Triệu,Số tự động,,0 Km,Trắng,Dầu	2.2 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Van/Minivan,Xe	Toyota Sienna	Limited 3.5 AWD	2016	- 2 Tỷ 645 Triệu,Số tự động,,"60,000 Km",Trắng,Xăng	3.5 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Van/Minivan,Xe	Toyota Sienna	Limited 3.5	2018	- 3 Tỷ 350 Triệu,Số tự động,,"25,000 Km",Trắng,Xăng	3.5 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Toyota Camry	2.0Q	2022	- 1 Tỷ 170 Triệu,Số tự động,,0 Km,Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
Bán tải / Pickup,Xe	Ford Ranger	XLS 2.2L 4x2 AT	2017	- 595 Triệu,Số tự động,,"72,000 Km",Cát,Dầu	2.2 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Mazda CX5	2.5 AT 2WD	2019	- 850 Triệu,Số tự động,,0 Km,Đỏ,Xăng	2.5 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Lexus RX	350	2019	- 4 Tỷ 90 Triệu,Số tự động,,"11,000 Km",Trắng,Xăng	3.5 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Porsche Macan	2.0	2019	- 3 Tỷ 850 Triệu,Số tự động,,"16,000 Km",Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Lexus RX	350L	2022	- 4 Tỷ 550 Triệu,Số tự động,,"2,000 Km",Cát,Xăng	3.5 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	LandRover Range Rover Evoque	R-Dynamic S	2019	- 2 Tỷ 980 Triệu,Số tự động,,"7,000 Km",Đỏ,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
