dong_xe,gia,hop_so,kieu_dang,km_da_di,mau_xe,nhien_lieu,so_cho_ngoi,so_cua,tinh_trang,xuat_xu
Hatchback,Xe	Kia Morning	GT-Line	2022	- 430 Triệu,Số tự động,,"2,000 Km",Xám,Xăng	1.25 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz E class	E200 Exclusive	2021	- 2 Tỷ 266 Triệu,Số tự động,,"8,000 Km",Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz C class	C300 AMG	2016	- 1 Tỷ 200 Triệu,Số tự động,,"45,000 Km",Đỏ,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Kia K3	Premium 1.6 AT	2022	- 674 Triệu,Số tự động,,0 Km,Đen,Xăng	1.6 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	BMW X7	xDrive40i M Sport	2019	- 6 Tỷ 350 Triệu,Số tự động,,"15,000 Km",Trắng,Xăng	3.0 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mercedes Benz C class	C180	2020	- 1 Tỷ 269 Triệu,Số tự động,,"10,000 Km",Trắng,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Convertible/Cabriolet,Xe	BMW 3 Series	328i Convertible	2008	- 735 Triệu,Số tự động,,0 Km,Đỏ,Xăng	2.0 L,4 chỗ,2 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Mitsubishi Pajero Sport	3.0G 4x2 AT	2019	- 839 Triệu,Số tự động,,0 Km,Đen,Xăng	3.0 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Hatchback,Xe	Mazda 3	2.0L Sport Signature Premium	2020	- 786 Triệu,Số tự động,,"15,239 Km",Đỏ,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	LandRover Range Rover Sport	HSE	2015	- 2 Tỷ 520 Triệu,Số tự động,,"48,000 Km",Trắng,Xăng	3.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Kia Sorento	GATH	2017	- 670 Triệu,Số tự động,,"50,000 Km",Cát,Xăng	2.4 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Ford Everest	Titanium 2.0L 4x2 AT	2022	- 1 Tỷ 151 Triệu,Số tự động,,0 Km,Xanh,Dầu	2.0 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Mazda 3	1.5L Luxury	2020	- 670 Triệu,Số tự động,,"18,000 Km",Đỏ,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Hyundai SantaFe	Premium 2.4L HTRAC	2020	- 1 Tỷ 120 Triệu,Số tự động,,"28,000 Km",Đen,Xăng	2.4 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Kia Sorento	Signature 2.2 AT AWD	2021	- 1 Tỷ 288 Triệu,Số tự động,,"18,555 Km",Trắng,Dầu	2.2 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mazda CX5	2.5 AT	2016	- 655 Triệu,Số tự động,,"45,000 Km",Trắng,Xăng	2.5 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Bán tải / Pickup,Xe	Ford Ranger	XLS 2.2L 4x2 AT	2022	- 632 Triệu,Số tự động,,0 Km,Bạc,Dầu	2.2 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Mitsubishi Pajero Sport	3.0G 4x2 AT	2018	- 799 Triệu,Số tự động,,0 Km,Đen,Xăng	3.0 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mazda 3	1.5 AT	2018	- 545 Triệu,Số tự động,,"50,000 Km",Đỏ,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	MG ZS	Luxury 1.5 AT 2WD	2022	- 619 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.5 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Kia K3	Premium 1.6 AT	2022	- 674 Triệu,Số tự động,,0 Km,Xanh,Xăng	1.6 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Mazda 3	1.5L Deluxe	2022	- 669 Triệu,Số tự động,,0 Km,Nhiều màu,Xăng	1.5 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Daewoo Lacetti	SE	2011	- 230 Triệu,Số tay,,0 Km,Bạc,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Crossover,Xe	VinFast VF e34	AT	2022	- 585 Triệu,Số tự động,,0 Km,Đen,Điện	0.1 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Hatchback,Xe	Kia Morning	SLX 1.0 AT	2010	- 235 Triệu,Số tự động,,"11,000 Km",Vàng,Xăng	1.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Crossover,Xe	Kia Seltos	Deluxe 1.4 AT	2022	- 639 Triệu,Số tự động,,0 Km,Cam,Xăng	1.4 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Convertible/Cabriolet,Xe	BMW Z4	sDrive30i M-Sport	2022	- 3 Tỷ 409 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.0 L,2 chỗ,2 cửa,Xe mới,Nhập khẩu
Bán tải / Pickup,Xe	Mazda BT50	Luxury 2.2L 4x2 AT	2020	- 638 Triệu,Số tự động,,"20,000 Km",Trắng,Dầu	2.2 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Kia Rondo	GAT Deluxe	2020	- 599 Triệu,Số tự động,,"29,999 Km",Trắng,Xăng	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Ford EcoSport	Titanium 1.5L AT	2015	- 399 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.5 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Hyundai i10	Grand 1.2 AT	2020	- 410 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.25 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Camry	2.0Q	2022	- 1 Tỷ 167 Triệu,Số tự động,,0 Km,Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
Bán tải / Pickup,Xe	Ford Ranger	XLS 2.2L 4x2 MT	2022	- 642 Triệu,Số tay,,0 Km,Cát,Dầu	2.2 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	VinFast Lux SA 2.0	Premium 2.0 AT	2019	- 985 Triệu,Số tự động,,"39,856 Km",Đen,Xăng	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Kia K5	2.0 AT	2010	- 395 Triệu,Số tự động,,0 Km,Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Bán tải / Pickup,Xe	Mitsubishi Triton	4x2 AT	2017	- 502 Triệu,Số tự động,,"40,000 Km",Xám,Dầu	2.5 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	BMW 7 Series	730Li	2010	- 860 Triệu,Số tự động,,"66,666 Km",Đen,Xăng	3.0 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mercedes Benz S class	S450L	2018	- 3 Tỷ 420 Triệu,Số tự động,,"36,000 Km",Xanh,Xăng	3.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Honda CRV	2.4 AT	2013	- 588 Triệu,Số tự động,,"82,000 Km",Bạc,Xăng	2.4 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Chevrolet Spark	LT 0.8 MT	2011	- 99 Triệu,Số tay,,0 Km,Trắng,Xăng	0.8 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Van/Minivan,Xe	Suzuki Super Carry Van	Blind Van	2022	- 293 Triệu,Số tay,,0 Km,Trắng,Xăng	1.0 L,2 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	LandRover Range Rover Evoque	Dynamic	2013	- 1 Tỷ 159 Triệu,Số tự động,,"60,000 Km",Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Honda Civic	1.8 AT	2009	- 315 Triệu,Số tự động,,"89,000 Km",Ghi,Xăng	1.8 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Honda City	L 1.5 AT	2022	- 539 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.5 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Kia Cerato	1.6 AT	2018	- 535 Triệu,Số tự động,,"59,000 Km",Trắng,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Hyundai i10	Grand 1.2 AT	2021	- 412 Triệu,Số tự động,,"12,000 Km",Đỏ,Xăng	1.25 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Corolla	GLi 1.8 AT	2007	- 338 Triệu,Số tự động,,"110,000 Km",Đen,Xăng	1.8 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Kia Cerato	2.0 AT Premium	2020	- 628 Triệu,Số tự động,,"30,000 Km",Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	Hyundai Tucson	1.6 AT Turbo HTRAC Đặc biệt	2022	- 1 Tỷ 20 Triệu,Số tự động,,0 Km,Xanh,Xăng	1.6 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Suzuki Ertiga	Limited 1.5 AT	2022	- 555 Triệu,Số tự động,,0 Km,Xám,Xăng	1.5 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
Bán tải / Pickup,Xe	Ford Ranger	2.2	2019	- 660 Triệu,Số tự động,,"41,123 Km",Xanh,Dầu,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Mitsubishi Xpander	Premium 1.5 AT	2022	- 648 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.5 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Mercedes Benz S class	S450L Luxury	2020	- 4 Tỷ 600 Triệu,Số tự động,,0 Km,Đen,Xăng	3.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Truck,Xe	Isuzu FVR	FVM34T - Bồn Cám CP	2022	- 1 Tỷ 900 Triệu,Số tay,,0 Km,Trắng,Dầu,3 chỗ,2 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Toyota Vios	1.5E	2018	- 390 Triệu,Số tay,,"45,000 Km",Trắng,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Honda City	1.5TOP	2018	- 485 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Porsche Cayenne	3.0 V6	2018	- 5 Tỷ 600 Triệu,Số tự động,,"40,000 Km",Xanh,Xăng	3.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Toyota Camry	2.0E	2014	- 655 Triệu,Số tự động,,"45,000 Km",Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mazda CX5	2.5 AT 2WD	2017	- 710 Triệu,Số tự động,,"110,000 Km",Đen,Xăng	2.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Toyota Rush	1.5S AT	2019	- 595 Triệu,Số tự động,,"73,000 Km",Đỏ,Xăng	1.5 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	VinFast Lux SA 2.0	Premium 2.0 AT	2019	- 948 Triệu,Số tự động,,"53,000 Km",Trắng,Xăng	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Camry	LE 2.5	2010	- 665 Triệu,Số tự động,,"65,000 Km",Đen,Xăng	2.5 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	VinFast Lux A 2.0	Plus 2.0 AT	2019	- 799 Triệu,Số tự động,,"28,000 Km",Đỏ,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	Toyota Venza	2.7	2009	- 595 Triệu,Số tự động,,"73,000 Km",Đen,Xăng	2.7 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Mercedes Benz GLS	400 4Matic	2016	- 2 Tỷ 650 Triệu,Số tự động,,"67,000 Km",Nâu,Xăng	3.0 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Hyundai Accent	1.4 ATH	2018	- 468 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.4 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Hyundai i10	Grand 1.2 AT	2018	- 375 Triệu,Số tự động,,"20,000 Km",Trắng,Xăng	1.25 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Kia K3	Premium 1.6 AT	2022	- 674 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.6 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Bán tải / Pickup,Xe	Mitsubishi Triton	4x2 MT	2019	- 518 Triệu,Số tay,,"16,000 Km",Xám,Dầu	2.5 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Hatchback,Xe	Kia Morning	EX 1.1 MT	2011	- 130 Triệu,Số tay,,0 Km,Xám,Xăng	1.1 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Bán tải / Pickup,Xe	Ford Ranger	XLS 2.2L 4x2 AT	2021	- 755 Triệu,Số tự động,,"12,000 Km",Trắng,Dầu	2.2 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Bán tải / Pickup,Xe	Ford Ranger	XLS 2.2L 4x2 MT	2022	- 642 Triệu,Số tay,,0 Km,Bạc,Dầu	2.2 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Crossover,Xe	Toyota Innova	G	2010	- 239 Triệu,Số tay,,"121,000 Km",Bạc,Xăng	2.0 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mazda 3	1.6 AT	2004	- 209 Triệu,Số tự động,,"180,000 Km",Đen,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mazda 2	1.5 AT	2017	- 435 Triệu,Số tự động,,"45,000 Km",Trắng,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz E class	E200 Exclusive	2022	- 2 Tỷ 310 Triệu,Số tự động,,0 Km,Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Hatchback,Xe	VinFast Fadil	Tiêu chuẩn 1.4 AT	2022	- 342 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.4 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Toyota Fortuner	2.4G 4x2 AT	2020	- 1 Tỷ 75 Triệu,Số tự động,,"34,450 Km",Trắng,Dầu	2.4 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Hyundai SantaFe	2.4L	2020	- 950 Triệu,Số tự động,,0 Km,Cam,Xăng	2.4 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Bán tải / Pickup,Xe	Ford Ranger	XL 2.2L 4x4 MT	2022	- 628 Triệu,Số tay,,0 Km,Đen,Dầu	2.2 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Bán tải / Pickup,Xe	Ford Ranger	XLS 2.2L 4x2 AT	2020	- 715 Triệu,Số tự động,,"18,000 Km",Trắng,Dầu	2.2 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Crossover,Xe	Cadillac SRX	3.0 V6	2011	- 780 Triệu,Số tự động,,0 Km,Đen,Xăng	3.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mercedes Benz C class	C250 Exclusive	2016	- 1 Tỷ 95 Triệu,Số tự động,,"38,000 Km",Xanh,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mitsubishi Attrage	1.2 MT	2022	- 375 Triệu,Số tay,,0 Km,Xám,Xăng	1.2 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
SUV,Xe	VinFast Lux SA 2.0	Premium 2.0 AT	2019	- 1 Tỷ 30 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Camry	2.5Q	2022	- 1 Tỷ 370 Triệu,Số tự động,,0 Km,Đen,Xăng	2.5 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
Hatchback,Xe	VinFast Fadil	1.4 AT Plus	2021	- 403 Triệu,Số tự động,,0 Km,Xám,Xăng	1.4 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Bán tải / Pickup,Xe	Mazda BT50	Luxury 1.9L 4x2 AT	2021	- 789 Triệu,Số tự động,,0 Km,Ghi,Dầu	1.9 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
Bán tải / Pickup,Xe	Ford Ranger	XLS 2.2L 4x2 AT	2022	- 662 Triệu,Số tự động,,0 Km,Nâu,Dầu	2.2 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Ford Everest	Titanium 2.0L 4x2 AT	2022	- 1 Tỷ 168 Triệu,Số tự động,,0 Km,Xanh,Dầu	2.0 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
Crossover,Xe	Kia Seltos	Premium 1.4 AT	2021	- 799 Triệu,Số tự động,,0 Km,Đen,Xăng	1.4 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Bán tải / Pickup,Xe	Ford Ranger	Wildtrak 3.2L 4x4 AT	2016	- 775 Triệu,Số tự động,,"40,000 Km",Cam,Dầu	3.2 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Kia Forte	SLi 1.6 AT	2009	- 309 Triệu,Số tự động,,"115,689 Km",Xám,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Hyundai SantaFe	2.4L	2013	- 685 Triệu,Số tự động,,"80,000 Km",Bạc,Xăng	2.4 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Toyota Corolla altis	1.8G	2022	- 699 Triệu,Số tự động,,0 Km,Đen,Xăng	1.8 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
Sedan,Xe	VinFast Lux A 2.0	Tiêu chuẩn	2022	- 881 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Honda CRV	L	2020	- 1 Tỷ 10 Triệu,Số tự động,,"30,000 Km",Đỏ,Xăng	1.5 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Bán tải / Pickup,Xe	Chevrolet Colorado	LTZ 2.8L 4x4 AT	2018	- 599 Triệu,Số tự động,,"70,000 Km",Đỏ,Dầu	2.8 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Hyundai Accent	1.4 AT	2022	- 565 Triệu,Số tự động,,"5,800 Km",Trắng,Xăng	1.4 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Toyota Corolla Cross	1.8HV	2022	- 920 Triệu,Số tự động,,0 Km,Trắng,Hybrid	1.8 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Toyota Vios	G	2007	- 195 Triệu,Số tay,,"140,000 Km",Bạc,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	Hyundai Kona	2.0 ATH	2021	- 688 Triệu,Số tự động,,"7,000 Km",Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mazda 3	1.5L Luxury	2019	- 619 Triệu,Số tự động,,"35,276 Km",Đỏ,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	LandRover Range Rover	Vogue 3.0	2015	- 3 Tỷ 880 Triệu,Số tự động,,"30,000 Km",Đen,Xăng	3.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mazda 3	1.5L Luxury	2019	- 609 Triệu,Số tự động,,"28,000 Km",Trắng,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Van/Minivan,Xe	Kia Carnival	Luxury 2.2D	2022	- 1 Tỷ 379 Triệu,Số tự động,,"10,000 Km",Đen,Dầu	2.2 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Kia K5	Premium 2.0 AT	2022	- 965 Triệu,Số tự động,,"3,000 Km",Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Hyundai Accent	1.4 MT	2013	- 325 Triệu,Số tay,,"66,000 Km",Trắng,Xăng	1.4 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mazda 2	Luxury	2022	- 530 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.5 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
Van/Minivan,Xe	Chevrolet Spark	Duo Van 1.2 MT	2016	- 159 Triệu,Số tay,,0 Km,Đỏ,Xăng	1.2 L,2 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz E class	E200	2016	- 1 Tỷ 360 Triệu,Số tự động,,"50,000 Km",Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Chevrolet Cruze	LTZ 1.8 AT	2015	- 369 Triệu,Số tự động,,"60,000 Km",Đỏ,Xăng	1.8 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Ford Everest	2.5L 4x2 MT	2007	- 248 Triệu,Số tay,,0 Km,Bạc,Dầu	2.5 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	Kia Sonet	Deluxe 1.5 AT	2022	- 554 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.5 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Hatchback,Xe	Kia Morning	1.0AT	2016	- 265 Triệu,Số tự động,,"65,670 Km",Kem,Xăng,2 chỗ,0 cửa,Xe đã dùng,Nhập khẩu
Bán tải / Pickup,Xe	Ford Ranger	XLS 2.2L 4x2 AT	2014	- 455 Triệu,Số tự động,,"98,695 Km",Bạc,Dầu	2.2 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Ford Everest	Titanium 2.0L 4x4 AT	2019	- 1 Tỷ 230 Triệu,Số tự động,,"32,000 Km",Đỏ,Dầu	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Lexus RX	350	2018	- 3 Tỷ 750 Triệu,Số tự động,,"39,000 Km",Đen,Xăng	3.5 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Lexus RX	350	2019	- 4 Tỷ ,Số tự động,,"18,000 Km",Trắng,Xăng	3.5 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Lexus RX	350L	2020	- 4 Tỷ 390 Triệu,Số tự động,,"29,000 Km",Trắng,Xăng	3.5 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Kia Cerato	2.0 AT Premium	2019	- 625 Triệu,Số tự động,,"28,000 Km",Đỏ,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	VinFast Lux A 2.0	Premium 2.0 AT	2020	- 818 Triệu,Số tự động,,"23,000 Km",Đỏ,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Volkswagen Polo	1.6 AT	2020	- 659 Triệu,Số tự động,,0 Km,Xanh,Xăng	1.6 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Crossover,Xe	Toyota Innova	2.0V	2019	- 770 Triệu,Số tự động,,0 Km,Đồng,Xăng	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	Toyota Innova	2.0G	2017	- 550 Triệu,Số tự động,,"86,000 Km",Bạc,Xăng	2.0 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Hyundai SantaFe	2.4L	2013	- 685 Triệu,Số tự động,,"61,000 Km",Bạc,Xăng	2.4 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	BMW 7 Series	730Li	2011	- 1 Tỷ 100 Triệu,Số tự động,,"128,000 Km",Đen,Xăng	3.0 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Crossover,Xe	Toyota Venza	2.7 AWD	2009	- 650 Triệu,Số tự động,,0 Km,Đen,Xăng	2.7 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Ford EcoSport	Titanium 1.5 AT	2020	- 589 Triệu,Số tự động,,"20,000 Km",Đỏ,Xăng	1.5 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Honda City	1.5 AT	2017	- 475 Triệu,Số tự động,,"12,000 Km",Đỏ,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	Peugeot 2008	Active 1.2 AT	2022	- 769 Triệu,Số tự động,,0 Km,Đen,Xăng	1.2 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Bán tải / Pickup,Xe	Mitsubishi Triton	4x4 AT Mivec Premium	2021	- 855 Triệu,Số tự động,,"10,000 Km",Trắng,Dầu	2.4 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mazda 3	2.0 AT	2018	- 585 Triệu,Số tự động,,"42,000 Km",Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	BMW 5 Series	535i GT	2011	- 850 Triệu,Số tự động,,"79,000 Km",Ghi,Xăng	3.0 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
