dong_xe,gia,hang,hop_so,kieu_dang,km_da_di,nam_sx,nhien_lieu,so_cho_ngoi,tinh_trang,xuat_xu
Kona,655.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
3,475.000.000,Mazda,Tự động,Sedan,9000,2015,Xăng,5,Đã sử dụng,Việt Nam
Fortuner,625.000.000,Toyota,Số sàn,SUV / Cross over,7600,2015,Dầu,7,Đã sử dụng,Việt Nam
Vios,326.000.000,Toyota,Số sàn,Sedan,123456,2015,Xăng,5,Đã sử dụng,Việt Nam
Seltos,629.000.000,Kia,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
5008,970.000.000,Peugeot,Tự động,SUV / Cross over,43000,2019,Xăng,7,Đã sử dụng,Việt Nam
Fiesta,256.000.000,Ford,Tự động,Sedan,120000,2012,Xăng,5,Đã sử dụng,Việt Nam
Grand i10,299.000.000,Hyundai,Số sàn,Sedan,59000,2019,Xăng,5,Đã sử dụng,Việt Nam
Cerato,650.000.000,Kia,Tự động,,2000,2021,,,Đã sử dụng,
Ranger,465.000.000,Ford,Số sàn,Pick-up (bán tải),60000,2015,Dầu,5,Đã sử dụng,Thái Lan
Mirage,200,Mitsubishi,Số sàn,Hatchback,10000,2015,Xăng,5,Đã sử dụng,Ấn Độ
Santa Fe,910.000.000,Hyundai,Tự động,SUV / Cross over,23000,2019,Xăng,7,Đã sử dụng,Việt Nam
Accent,385.000.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Innova,648.000.000,Toyota,Tự động,Minivan (MPV),15000,2018,Xăng,8,Đã sử dụng,Việt Nam
Fortuner,580.000.000,Toyota,Tự động,SUV / Cross over,40000,2014,Xăng,7,Đã sử dụng,Việt Nam
Spark,149.000.000,Chevrolet,Số sàn,Hatchback,15,2013,Xăng,5,Đã sử dụng,Việt Nam
City,540.000.000,Honda,Tự động,Sedan,25000,2020,Xăng,5,Đã sử dụng,Việt Nam
Kona,570.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
4 Runner,95.000.000,Toyota,Số sàn,SUV / Cross over,92000,1990,Xăng,7,Đã sử dụng,Nhật Bản
3,455.000.000,Mazda,Tự động,Sedan,85000,2016,Xăng,5,Đã sử dụng,Việt Nam
Rio,480.000.000,Kia,Tự động,Sedan,55671,2017,Xăng,4,Đã sử dụng,Hàn Quốc
Civic,237.000.000,Honda,Số sàn,Sedan,90000,2010,Xăng,4,Đã sử dụng,Nhật Bản
Tiguan,1.320.000.000,Volkswagen,Tự động,,49000,2018,Xăng,7,Đã sử dụng,Đức
Cerato,575.000.000,Kia,Tự động,Sedan,43000,2019,Xăng,5,Đã sử dụng,Việt Nam
C Class,1.350.000.000,Mercedes Benz,Tự động,Sedan,30000,2019,Xăng,5,Đã sử dụng,Việt Nam
Fortuner,1.130.000.000,Toyota,Tự động,SUV / Cross over,5100,2021,Dầu,,Đã sử dụng,Việt Nam
Focus,315.000.000,Ford,Tự động,Hatchback,62000,2012,Xăng,5,Đã sử dụng,
G Class,11.800.000.000,Mercedes Benz,Tự động,SUV / Cross over,9000,2020,Xăng,5,Đã sử dụng,Đức
Ranger,540.000.000,Ford,Số sàn,Pick-up (bán tải),50000,2015,Dầu,5,Đã sử dụng,Thái Lan
Vios,418.000.000,Toyota,Tự động,Sedan,56000,2017,Xăng,5,Đã sử dụng,Việt Nam
Innova,230.000.000,Toyota,Số sàn,SUV / Cross over,198000,2006,Xăng,8,Đã sử dụng,Việt Nam
Cerato,589.000.000,Kia,Tự động,Sedan,35000,2019,Xăng,5,Đã sử dụng,Việt Nam
Vios,431.000.000,Toyota,Số sàn,Sedan,,2021,Xăng,5,Mới,Việt Nam
Grand i10,375.000.000,Hyundai,Tự động,Hatchback,321238,2019,Xăng,5,Đã sử dụng,Việt Nam
Dòng khác,200.000.000,Suzuki,Số sàn,Van,120000,2017,Xăng,2,Đã sử dụng,Việt Nam
C Class,1.750.000.000,Mercedes Benz,Tự động,Sedan,27000,2019,Xăng,5,Đã sử dụng,Đức
Innova,240.000.000,Toyota,Số sàn,Minivan (MPV),230,2006,Xăng,8,Đã sử dụng,Việt Nam
Jolie,120.000.000,Mitsubishi,Số sàn,SUV / Cross over,160000,2006,Xăng,7,Đã sử dụng,Nhật Bản
3 Series,199.000.000,BMW,Tự động,Sedan,172369,2000,Xăng,5,Đã sử dụng,Đức
E Class,1.690.000.000,Mercedes Benz,Tự động,Sedan,53800,2018,Xăng,5,Đã sử dụng,Việt Nam
Corolla Altis,185.000.000,Toyota,Số sàn,Sedan,15000,2002,Xăng,5,Đã sử dụng,Việt Nam
Xpander,565.000.000,Mitsubishi,Tự động,Minivan (MPV),17000,2020,Xăng,7,Đã sử dụng,Nước khác
Cerato,615.000.000,Kia,Tự động,Sedan,10000,2020,Xăng,5,Đã sử dụng,Việt Nam
Xpander,565.000.000,Mitsubishi,Tự động,Minivan (MPV),,2020,Xăng,7,Mới,Nước khác
Fortuner,650.000.000,Toyota,Tự động,SUV / Cross over,66000,2016,Xăng,7,Đã sử dụng,Việt Nam
Grand i10,300.000.000,Hyundai,Số sàn,Hatchback,39000,2018,Xăng,5,Đã sử dụng,Việt Nam
NX,2.190.000.000,Lexus,Tự động,,40000,2018,,,Đã sử dụng,
Accent,92.000.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Dòng khác,499.000.000,Kia,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
City,545.000.000,Honda,Tự động,Sedan,10000,2020,Xăng,5,Đã sử dụng,Việt Nam
Ranger,875.000.000,Ford,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Việt Nam
Lux,881.000.000,Vinfast,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Ranger,1.185.000.000,Ford,Tự động,Pick-up (bán tải),22000,2019,Dầu,5,Đã sử dụng,Thái Lan
Vios,390.000.000,Toyota,Số sàn,Sedan,100000,2019,Xăng,5,Đã sử dụng,Nhật Bản
GLC Class,1.620.000.000,Mercedes Benz,Tự động,SUV / Cross over,50000,2016,Xăng,5,Đã sử dụng,Việt Nam
Xpander,630.000.000,Mitsubishi,Tự động,Minivan (MPV),,2021,,7,Mới,Nhật Bản
Dòng khác,212.000.000,Hyundai,Số sàn,Hatchback,79000,2014,Xăng,5,Đã sử dụng,Ấn Độ
Everest,1.022.000.000,Ford,Tự động,SUV / Cross over,,2021,Dầu,7,Mới,Thái Lan
Morning,270.000.000,Kia,Số sàn,Hatchback,15,2017,Xăng,5,Đã sử dụng,Việt Nam
Kona,569.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
Corolla Cross,820.000.000,Toyota,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Thái Lan
Everest,168.000.000,Ford,Số sàn,SUV / Cross over,150,2006,Dầu,7,Đã sử dụng,Ấn Độ
Morning,179.000.000,Kia,Số sàn,Hatchback,,2013,Xăng,2,Đã sử dụng,
Morning,133.000.000,Kia,Tự động,Hatchback,150000,2005,Xăng,5,Đã sử dụng,Hàn Quốc
Ranger,1.065.000.000,Ford,Tự động,Pick-up (bán tải),35111,2018,Dầu,5,Đã sử dụng,Thái Lan
Camry,345.678.910,Toyota,Số sàn,Sedan,100000,2006,Xăng,5,Đã sử dụng,Việt Nam
Swift,535.000.000,Suzuki,Tự động,Hatchback,30000,2019,Xăng,5,Đã sử dụng,Thái Lan
Accent,398.000.000,Hyundai,Tự động,Hatchback,70000,2015,Xăng,5,Đã sử dụng,Hàn Quốc
Fadil,382.000.000,Vinfast,Tự động,Hatchback,,2021,Xăng,5,Mới,Việt Nam
C Class,1.390.000.000,Mercedes Benz,Tự động,Sedan,40000,2017,Xăng,5,Đã sử dụng,Việt Nam
Dòng khác,2.349.000.000,Volkswagen,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Mỹ
C Class,1.065.000.000,Mercedes Benz,Tự động,Sedan,24000,2016,Xăng,5,Đã sử dụng,Việt Nam
Cruze,360.000.000,Chevrolet,Số sàn,Sedan,76000,2017,Xăng,5,Đã sử dụng,Việt Nam
Xpander,595.000.000,Mitsubishi,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
3,590.000.000,Mazda,Tự động,,37000,2018,,,Đã sử dụng,
EcoSport,335.000.000,Ford,Số sàn,SUV / Cross over,71000,2015,Xăng,5,Đã sử dụng,
Captiva,618.000.000,Chevrolet,Tự động,SUV / Cross over,43000,2018,Xăng,7,Đã sử dụng,Việt Nam
Carens,199.000.000,Kia,Số sàn,Sedan,160000,2011,Xăng,7,Đã sử dụng,Hàn Quốc
Solati,770.000.000,Hyundai,Số sàn,SUV / Cross over,20000,2019,Dầu,16,Đã sử dụng,Việt Nam
Lanos,77.000.000,Daewoo,Số sàn,Sedan,850000,2003,Xăng,5,Đã sử dụng,Hàn Quốc
Xpander,470.000.000,Mitsubishi,Số sàn,SUV / Cross over,20000,2019,Xăng,7,Đã sử dụng,Nước khác
Xpander,608.000.000,Mitsubishi,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Ấn Độ
Xpander,540.000.000,Mitsubishi,Tự động,Minivan (MPV),22000,2019,Xăng,5,Đã sử dụng,Nước khác
ZS,519.000.000,MG,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Thái Lan
Santa Fe,760.000.000,Hyundai,Bán tự động,SUV / Cross over,50000,2016,Xăng,7,Đã sử dụng,Việt Nam
Vios,415.000.000,Toyota,Tự động,Sedan,70000,2017,Xăng,4,Đã sử dụng,Việt Nam
GLC,2.439.000.000,Mercedes Benz,Tự động,SUV / Cross over,3000,2021,Xăng,5,Đã sử dụng,Việt Nam
Lux,881.695.000,Vinfast,Tự động,Sedan,,2021,Xăng,5,Đã sử dụng,Việt Nam
GLC,1.929.000.000,Mercedes Benz,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Đức
Hiace,198.000.000,Toyota,Số sàn,Kiểu dáng khác,160000,2007,Xăng,16,Đã sử dụng,Việt Nam
6,705.000.000,Mazda,Tự động,Sedan,65000,2017,Xăng,5,Đã sử dụng,Việt Nam
Attrage,420.000.000,Mitsubishi,Tự động,Sedan,20000,2020,Xăng,5,Đã sử dụng,Thái Lan
Ranger,425.000.000,Ford,Số sàn,Pick-up (bán tải),80000,2014,Dầu,5,Đã sử dụng,Thái Lan
Camry,390.000.000,Toyota,Tự động,Sedan,89000,2009,Xăng,5,Đã sử dụng,Mỹ
Innova,345.000.000,Toyota,Số sàn,Sedan,130000,2013,Xăng,8,Đã sử dụng,Việt Nam
Camry,660.000.000,Toyota,Tự động,Sedan,70000,2013,Xăng,5,Đã sử dụng,Việt Nam
Labo,4.000.000,Daewoo,Số sàn,Kiểu dáng khác,123456,2000,Xăng,2,Đã sử dụng,Hàn Quốc
Swift,525.000.000,Suzuki,Tự động,Hatchback,9000,2019,Xăng,5,Đã sử dụng,Thái Lan
Grand i10,340.000.000,Hyundai,Số sàn,Hatchback,,2021,Xăng,5,Mới,Hàn Quốc
Transit,195.000.000,Ford,Số sàn,Van,30000,2009,Dầu,7,Đã sử dụng,Việt Nam
Innova,395.000.000,Toyota,Số sàn,Sedan,89000,2015,Xăng,7,Đã sử dụng,Việt Nam
Vios,289.000.000,Toyota,Số sàn,Sedan,63000,2015,Xăng,5,Đã sử dụng,Việt Nam
Verna,186.000.000,Hyundai,Số sàn,Sedan,12345,2010,Xăng,5,Đã sử dụng,Hàn Quốc
