id,domain,url,crawled_date,ten,gia_ban,nam_san_xuat,xuat_xu,tinh_trang,dong_xe,so_km_da_di,mau_ngoai_that,mau_noi_that,so_cua,so_cho_ngoi,nhien_lieu,he_thong_nap_nhien_lieu,hop_so,dan_dong,tieu_thu_nhien_lieu,dung_tich_xi_lanh,thong_tin_mo_ta
6c3fcd7b-c359-417d-a6ba-24d5c11ebe80,bonbanh.com,https://bonbanh.com/xe-jaguar-xj_series-xjl-3.0-portfolio-2016-4370946,1656780788.972125,xe jaguar xj series xjl 3.0 portfolio,3450000000.0,2016,nhập khẩu,cũ,sedan,"29,800 km",đen,nâu,4 cửa,5 chỗ,xăng,, tự động,rfd,l/100km,3.0 l,Jaguar XJL 3.0 Porfolio Sản xuất 2016 Nhập Anh
30ebccfd-8205-4d51-8b91-85bbeddce7cd,bonbanh.com,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x2-at-2018-4440966,1656780789.208007,xe ford everest titanium 2.0l 4x2,999000000.0,2018,nhập khẩu,cũ,suv,"50,000 km",trắng,-,5 cửa,7 chỗ,dầu,, tự động,rfd,l/100km,2.0 l,"Biển HN, 5vạn, zin đét"
d4509ee3-0e25-4d5e-81da-264c47246357,bonbanh.com,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-mt-2022-4415104,1656780789.24616,xe ford ranger xls 2.2l 4x2 mt,612000000.0,2022,trong nước,mới,bán tải / pickup,0 km,cát,đen,4 cửa,5 chỗ,dầu,trực tiếp, tay,rfd,6 l/100km,2.2 l,"Ford Ranger XLS MT 2022 Đủ màu Trắng, Đen, Ghi vàng, Đỏ Giao trong tháng "
5c36d801-5f63-47b9-aeec-f36abdd3bc56,bonbanh.com,https://bonbanh.com/xe-mini-cooper-s-5dr-2018-4464626,1656780789.275627,xe mini cooper s 5dr,1790000000.0,2018,nhập khẩu,cũ,hatchback,"10,000 km",trắng,đen,5 cửa,5 chỗ,xăng,, tự động,rfd,l/100km,,Bán xe Mini Cooper S bản 5 cửa.
85134c10-aea0-4596-888c-dfc113de8923,bonbanh.com,https://bonbanh.com/xe-toyota-land_cruiser-vx-4.6-v8-2017-4452351,1656780789.306418,xe toyota land cruiser vx 4.6 v8,3990000000.0,2017,nhập khẩu,cũ,suv,"60,000 km",đen,đen,5 cửa,8 chỗ,xăng,, tự động,awd,l/100km,4.6 l,Vừa cập bến #LandCruiser sx 2017 1 chủ sở hữu. Biển số tiến Lộc Phát
355b48ab-06b1-4bb7-afb7-638ca77c04d9,bonbanh.com,https://bonbanh.com/xe-kia-morning-van-1.0-at-2013-4444422,1656780789.335304,xe kia morning van 1.0,235000000.0,2013,nhập khẩu,cũ,van/minivan,"80,000 km",trắng,đen,5 cửa,2 chỗ,xăng,xăng, tự động,fwd,6 l/100km,1.0 l,* cần bán kiamoinh Van nhập khẩu XS : 2013 AT đăng ký 2016 xe được trang bị động cơ 1.0L
328a5e63-3da1-41a0-91eb-9c2e622399f1,bonbanh.com,https://bonbanh.com/xe-kia-morning-van-1.0-at-2015-4430931,1656780789.368259,xe kia morning van 1.0,208000000.0,2015,nhập khẩu,cũ,van/minivan,"9,000 km",trắng,ghi,5 cửa,2 chỗ,xăng,phun điện tử, tự động,fwd,5 l/100km,1.0 l,Autu7 địa chỉ 204 ngõ 233 phạm văn Đồng gần cổng bộ công an bán xe kia moning 1.0 AT nhập khẩu 2015 xe mới tinh như xe trong hãng bản đủ đồ nhất . Bóng khí phanh ABS màn hình camela lùi gương kính chỉnh điện gạt mưa sau ghế sau và nhiều tính năng khác. Ace mua xe có thể nhờ thợ kiểm tra hoặc mang vào hãng tét cho công tâm ạ. Nếu ace nào phát hiện xe lỗi hoặc ra máy cửa hàng em xin gửi 50 tr tiền chi phí đi lại ạ ( đặc biệt xe đã mua bảo hiểm thân vỏ 5 năm)
f0a49ceb-5bd3-4c38-9c1f-60e918e0dcda,bonbanh.com,https://bonbanh.com/xe-mazda-3-1.5l-premium-2022-4257871,1656780789.543136,xe mazda 3 1.5l premium,789000000.0,2022,trong nước,mới,sedan,0 km,trắng,đen,4 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,1.5 l,Mazda 3 1.5L Premium
8d9dde9b-f297-431e-b91d-d3e24cff02a5,bonbanh.com,https://bonbanh.com/xe-ford-focus-1.8-at-2010-4463200,1656780789.845846,xe ford focus 1.8,262000000.0,2010,trong nước,cũ,hatchback,"110,000 km",đỏ,đen,5 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,,Đức Thịnh - Auto World Hà Nội ( Tặng ngay gói bảo dưỡng - Tặng voucher giảm giá hoặc quà tặng vào ngày sinh nhật của khách hàng )
309d0b6d-54a9-48bd-b82c-f2f99963d815,bonbanh.com,https://bonbanh.com/xe-bmw-5_series-530i-luxury-line-2019-4380383,1656780790.034175,xe bmw 5 series 530i luxury line,2279000000.0,2019,nhập khẩu,cũ,sedan,"48,000 km",đen,nâu,4 cửa,5 chỗ,xăng,, tự động,rfd,l/100km,2.0 l,BMW 530i Luxury Line Model 2020
9bf96202-53b4-4e1b-b25f-d479d6439f90,bonbanh.com,https://bonbanh.com/xe-kia-carens-ex-2016-4464570,1656780790.053296,xe kia carens ex,295000000.0,2016,trong nước,cũ,suv,"69,868 km",bạc,đen,5 cửa,7 chỗ,xăng,phun xăng điện tử, tay,fwd,8 l/100km,,Kia Carens EX 2.0 7 chỗ sản xuất 2016 Đẹp Xuất sắc gần như mới tinh Sơn zin 95%. Xe 1 chủ từ đầu làm trong đài tiếng nói Việt Nam VOV .chạy 7 vạn lốp theo xe..Lốp dự phòng mới tinh..Xe zin toàn tập..chạy đường phố nên máy gầm gần như mới cứng
