id,url,crawled_date,domain,ten,gia,xuat_xu,tinh_trang,dong_xe,so_cho_ngoi,nhien_lieu,hop_so
73b6cf5f-0e6d-40cd-8f16-3e79c57b6318,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/95795129.htm,2022-06-27 10:09:34.379234,xe.chotot.com,Bán xe Honda CRV1.5L turbo sx 2019 mầu Đen một chủ,945.000.000,Thái Lan,Đã sử dụng,CR V,7,Xăng,Tự động
f2b8ba2d-a07b-49e7-bfa0-82594d117372,https://xe.chotot.com/mua-ban-oto-thanh-pho-nga-bay-hau-giang/93757977.htm,2022-06-27 10:09:35.103696,xe.chotot.com,kia rai máy êm ru,37.000.000,,Đã sử dụng,Dòng khác,,Xăng,Số sàn
c5ea7a5f-16bb-4128-9f31-509f14d332bb,https://xe.chotot.com/mua-ban-oto-quan-binh-thanh-tp-ho-chi-minh/96264410.htm,2022-06-27 10:09:35.380781,xe.chotot.com,Ford Ranger Wildtrak 2.0AT 1 Cầu - Máy Dầu,782.000.000,Thái Lan,Đã sử dụng,Ranger,5,Dầu,Tự động
f625416f-e0c6-4db6-b9e7-985160584280,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-dau-mot-binh-duong/96373300.htm,2022-06-27 10:09:35.412797,xe.chotot.com,Innova G 2011,315.000.000,,Đã sử dụng,Innova,8,Xăng,Tự động
88513132-b406-4167-819a-8eac020e85b0,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/96151748.htm,2022-06-27 10:09:35.615473,xe.chotot.com,seltos 1.4 premium dk2021 -7 ngàn klm - vào nhiều,748.000.000,Việt Nam,Đã sử dụng,Seltos,5,Xăng,Tự động
98e190b2-19ef-438d-89a5-122f250ef322,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/95814533.htm,2022-06-27 10:09:35.802231,xe.chotot.com,xe Everest titanium 2.0 sx 2021 1 cầu,1.229.000.000,,Đã sử dụng,Everest,,Dầu,Tự động
f021f1f6-17a7-480b-9cb7-c9b164f94727,https://xe.chotot.com/mua-ban-oto-quan-dong-da-ha-noi/96373308.htm,2022-06-27 10:09:36.753736,xe.chotot.com,Range Rover Sport Autobiography model 2011,1.190.000.000,,Đã sử dụng,Range Rover Sport,5,Xăng,Tự động
11e9529d-d98b-4590-96f5-bf69e072b50b,https://xe.chotot.com/mua-ban-oto-quan-4-tp-ho-chi-minh/95731625.htm,2022-06-27 10:09:36.970961,xe.chotot.com,Xe thung 1c mua nam 2019 dep keng,475.000.000,Việt Nam,Đã sử dụng,Vios,5,Xăng,Tự động
c6f0692d-3655-496f-98a3-e6807bcf6058,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/95018725.htm,2022-06-27 10:09:37.265722,xe.chotot.com,Chào bán i10 at sx 2017 bản đủ odo 5 vạn bao test,350.000.000,,Đã sử dụng,Grand i10,5,Xăng,Tự động
a44afd8d-ff67-4f24-864c-c7f6ba422da2,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/93961022.htm,2022-06-27 10:09:38.115818,xe.chotot.com,C200,625.000.000,,Đã sử dụng,C Class,5,Xăng,Tự động
