id,domain,url,crawled_date,ten,gia_ban,xuat_xu,tinh_trang,dong_xe,so_km_da_di,mau_ngoai_that,mau_noi_that,so_cua,so_cho_ngoi,nhien_lieu,he_thong_nap_nhien_lieu,hop_so,dan_dong,tieu_thu_nhien_lieu,dung_tich_xi_lanh_
738bf2c1-124f-4453-9a74-87a09178a137,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4429083/",2022-06-26 16:25:05.192644,Xe Honda CRV 2.4 AT 2013,575 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,82023 Km,Bạc,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,2354 (cc)
5e968a1f-0efc-42dc-9b85-fdec6ce9c24e,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4413961/",2022-06-26 16:25:05.222642,Xe Kia Rio 1.4 AT 2015,418 Triệu,Nhập khẩu,Xe đã dùng,Hatchback,90509 Km,Đỏ,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1396 (cc)
bacb9c73-eb7f-4639-ac50-e2d0b28ce1d7,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4340965/",2022-06-26 16:25:05.253642,Xe Ford EcoSport Titanium 1.5L AT 2019,565 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,31949 Km,Đỏ,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1498 (cc)
2a4e3f32-e618-452b-8227-257ecc7a1a95,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4372584/",2022-06-26 16:25:05.280645,Xe Kia Carens SXAT 2013,365 Triệu,Lắp ráp trong nước,Xe đã dùng,Crossover,68305 Km,Vàng,Đen,5 cửa,7 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1998 (cc)
ad5de9ce-6abc-4dd9-9386-804dd45309e0,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4429100/",2022-06-26 16:25:05.353053,Xe Mazda 2 1.5 AT 2016,426 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,40106 Km,Trắng,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc)
7cf22204-2f57-4f09-b5fe-af3198406493,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4378920/",2022-06-26 16:25:05.389724,Xe Kia Cerato 2.0 AT Premium 2019,638 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,36985 Km,Trắng,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1999 (cc)
50fec90a-e3ba-4606-8925-9aea9695ee70,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4436340/",2022-06-26 16:25:05.399723,Xe Mazda CX5 2.5 AT 2WD 2018,788 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,45364 Km,Trắng,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,2488 (cc)
745b15c6-4277-4e19-be37-68c705aacc1c,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4444097/",2022-06-26 16:25:05.425686,Xe Toyota Fortuner 2.7V 4x2 AT 2012,495 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,97180 Km,Đen,Kem,5 cửa,8 chỗ,Xăng,,Số tự động,RFD - Dẫn động cầu sau, L/100Km,2694 (cc)
f21ecf69-a773-4f53-a6cc-f6ee86466a77,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4398698/",2022-06-26 16:25:05.469395,Xe Nissan Juke 1.6 AT 2015,668 Triệu,Nhập khẩu,Xe đã dùng,SUV,57445 Km,Đỏ,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1598 (cc)
8ae2f6fe-a7c8-4bec-a5f1-c7ad8a0d914a,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4358113/",2022-06-26 16:25:05.501397,Xe Ford Fiesta S 1.0AT Ecoboost 2016,395 Triệu,Lắp ráp trong nước,Xe đã dùng,Hatchback,58197 Km,Đỏ,Nhiều màu,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,998 (cc)
f20bcfe7-711a-453b-9d4f-03b7e436b010,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4447140/",2022-06-26 16:25:05.533397,Xe Nissan X trail 2.0 SL 2WD Premium 2018,728 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,39569 Km,Đỏ,Đen,5 cửa,7 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1997 (cc)
f52eba64-5caf-469f-971f-cc84163a3cd0,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4447823/",2022-06-26 16:25:05.565414,Xe Kia Morning Luxury 2019,375 Triệu,Lắp ráp trong nước,Xe đã dùng,Hatchback,45561 Km,Đỏ,Kem,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1248 (cc)
81f54fa2-400c-46ae-81e9-28b4070700a9,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4425403/",2022-06-26 16:25:05.596086,Xe Mazda 2 1.5 AT 2016,425 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,65742 Km,Xanh,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc)
821604eb-8a20-4a90-9b19-6bbc86a5dfb3,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4451425/",2022-06-26 16:25:05.628099,Xe Hyundai Elantra 1.6 MT 2017,431 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,60255 Km,Trắng,Đen,4 cửa,5 chỗ,Xăng,,Số tay,FWD - Dẫn động cầu trước, L/100Km,1591 (cc)
af90c754-0f3d-4f77-8ab1-68c5b42eecde,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4432813/",2022-06-26 16:25:05.672118,Xe Kia Rio 1.4 AT 2015,425 Triệu,Nhập khẩu,Xe đã dùng,Hatchback,45763 Km,Trắng,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1396 (cc)
441fd92c-001f-40fe-bfa5-0e2105c617e7,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4449668/",2022-06-26 16:25:05.721745,Xe Hyundai Accent 1.4 ATH 2018,505 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,32167 Km,Trắng,Nhiều màu,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1396 (cc)
e0ba8f27-7ad8-4478-ab86-935c3e118708,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4429658/",2022-06-26 16:25:05.751786,Xe Toyota Vios 1.5G 2020,553 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,20569 Km,Vàng,Kem,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc)
1f046480-c3d5-4c1c-99a1-83ab96e26316,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4372702/",2022-06-26 16:25:05.781590,Xe Ford Fiesta S 1.0AT Ecoboost 2016,409 Triệu,Lắp ráp trong nước,Xe đã dùng,Hatchback,51495 Km,Trắng,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,998 (cc)
d050546f-1c16-4a70-81c3-1c492395e700,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4400522/",2022-06-26 16:25:05.812912,Xe Mazda 3 1.5L Luxury 2019,619 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,35276 Km,Đỏ,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc)
