id,domain,url,crawled_date,anh_xe,ten,gia_ban,nam_san_xuat,xuat_xu,tinh_trang,dong_xe,so_km_da_di,mau_ngoai_that,mau_noi_that,so_cua,so_cho_ngoi,nhien_lieu,he_thong_nap_nhien_lieu,hop_so,dan_dong,tieu_thu_nhien_lieu,dung_tich_xi_lanh,thong_tin_mo_ta
846c156d-30d5-482f-b51d-99394f61f405,bonbanh.com,https://bonbanh.com/xe-toyota-innova-2.0e-2016-4465670,1656843558.169448,https://bonbanh.com/uploads/users/70526/car/4465670/l_1656842734.477.jpeg,xe toyota innova 2.0e,430000000.0,2016,trong nước,cũ,van/minivan,"77,000 km",bạc,kem,5 cửa,8 chỗ,xăng,, tay,rfd,l/100km,,"- Bán Toyota Innova 2.0E, Sx 2016, Màu Bạc. Xe gia đình 1 đời chủ sử dụng, giữ gìn bảo dưỡng định kỳ đầy đủ. Bao test."
4505229a-a3f0-49a7-8ee4-aa5313f386b1,bonbanh.com,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2014-4445541,1656843558.511986,https://bonbanh.com/uploads/users/655907/car/4445541/l_1655782590.827.jpg,xe mercedes benz c class c200,575000000.0,2014,trong nước,cũ,sedan,0 km,đen,đen,4 cửa,5 chỗ,xăng,, tự động,rfd,l/100km,1.8 l,"Siêu Thị Ô Tô Sài Gòn chào bán Mercedes C200 Edition, sản xuất 2014 màu đen nội thất đen, máy 1.8L cực tiết kiệm nhiên liệu. Xe cam kết nguyên bản không đâm đụng hay ngập nước động cơ, bao check test toàn quốc"
114a8b1d-20b0-47c2-874a-fbe289bfdbba,bonbanh.com,https://bonbanh.com/xe-mazda-cx5-deluxe-2.0-at-2022-4455751,1656843558.540439,https://bonbanh.com/uploads/users/413323/car/4455751/l_1656312931.873.jpg,xe mazda cx5 deluxe 2.0,839000000.0,2022,trong nước,mới,suv,0 km,đỏ,đen,5 cửa,5 chỗ,xăng,, tự động,fwd,7 l/100km,2.0 l,KHUYẾN MẠI KHỦNG
8d292309-fad1-440d-9216-b39a30d54737,bonbanh.com,https://bonbanh.com/xe-peugeot-5008-al-1.6l-2022-4281123,1656843558.716211,https://bonbanh.com/uploads/users/402695/car/4281123/l_1647339516.894.jpg,xe peugeot 5008 al 1.6l,1164000000.0,2022,trong nước,mới,suv,0 km,đỏ,màu khác,5 cửa,7 chỗ,xăng,, tự động,fwd,l/100km,1.6 l,=> Nhận ngay ưu đãi KHỦNG tặng ngay 32 triệu khi sở hữu PEUGEOT 5008 2022 
e2252f04-c8e0-4099-97e8-2cb97d3fdf7b,bonbanh.com,https://bonbanh.com/xe-kia-k3-premium-2.0-at-2022-4231516,1656843558.750298,https://bonbanh.com/uploads/users/51958/car/4231516/l_1644811298.794.jpg,xe kia k3 premium 2.0,687000000.0,2022,trong nước,mới,sedan,0 km,trắng,đen,4 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,2.0 l,Kia K3 Premium 2.0 công nghệ vượt trội
01040c70-bb11-47c0-b1f8-60b09cf5fe33,bonbanh.com,https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2022-4443685,1656843558.785636,https://bonbanh.com/uploads/users/393676/car/4443685/l_1655695281.719.jpeg,xe mercedes benz e class e300 amg,2945000000.0,2022,trong nước,cũ,sedan,"4,000 km",trắng,nâu,4 cửa,5 chỗ,xăng,, tự động,rfd,l/100km,2.0 l,LuxCar_116_Lê_Văn_Lương 
95b46cdf-cb4a-49b8-a39f-f315a3d0cd19,bonbanh.com,https://bonbanh.com/xe-vinfast-vf-e34-at-2022-4330571,1656843558.975392,https://bonbanh.com/uploads/users/637237/car/4330571/l_1649833848.212.jpg,xe vinfast vf e34,599000000.0,2022,trong nước,cũ,crossover,"2,000 km",trắng,ghi,5 cửa,5 chỗ,điện,, tự động,fwd,l/100km,0.1 l,"Vinfast VF E34 2022 ,xe điện cực HOT , odo : 2000km , tư nhân chính chủ , biển tỉnh"
91d63083-1695-4407-8b1e-26c76cc1db50,bonbanh.com,https://bonbanh.com/xe-lexus-gx-460-2020-4444046,1656843558.992734,https://bonbanh.com/uploads/users/639307/car/4444046/l_1655706350.585.jpeg,xe lexus gx 460,5550000000.0,2020,nhập khẩu,cũ,suv,"19,000 km",đen,kem,5 cửa,7 chỗ,xăng,, tự động,awd,l/100km,4.6 l,"Lexus GX460 xe gia đình đi cực ít, các chi tiết nội ngoại thất không một chút tì vết. Xe hàng hiếm trên thị trường."
f278c001-2c10-4b3b-841b-3762188823e6,bonbanh.com,https://bonbanh.com/xe-honda-crv-g-2022-3762654,1656843559.019394,https://bonbanh.com/uploads/users/271369/car/3762654/l_1618305982.636.jpg,xe honda crv g,1048000000.0,2022,trong nước,mới,suv,0 km,trắng,đen,4 cửa,7 chỗ,xăng,, tự động,fwd,l/100km,1.5 l,"Honda CRV 2022 G, phiên bản nhiều tính năng an toàn và tiện nghi."
dc5ca53b-e5d1-41c8-83ec-5f7196ea53fb,bonbanh.com,https://bonbanh.com/xe-mg-5-luxury-2022-4229100,1656843559.067433,https://bonbanh.com/uploads/users/588468/car/4229100/l_1644652038.660.jpg,xe mg 5 luxury,579000000.0,2022,nhập khẩu,mới,sedan,0 km,đỏ,đen,4 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,,"Nội thất của MG5 2022 có phong cách thiết kế tương đồng với các mẫu xe khác trong gia đình MG. Vô lăng 03 chấu đa chức năng kiểu đáy phẳng, điều chỉnh 3 độ cân bằng. Phía sau vô lăng là cụm đồng hồ kỹ thuật số, kích thước 7 inch. Màn hình thông tin giải trí kích thước 10 inch hỗ trợ kết nối Apple Carplay, Android Auto. Bảng điều khiển trang trí 3D Diamond Design."
6f08f672-b907-47dc-9ed2-e266e8af26a5,bonbanh.com,https://bonbanh.com/xe-suzuki-ciaz-1.4-at-2021-562499,1656843559.286418,https://bonbanh.com/uploads/users/61400/car/562499/l_1600652014.jpg,xe suzuki ciaz 1.4,534000000.0,2021,nhập khẩu,mới,sedan,0 km,trắng,đen,4 cửa,5 chỗ,xăng,, tự động,fwd,5 l/100km,1.4 l,Suzuki Ciaz 1.4AT
7d59a1e2-7c74-48af-9090-707ba4d6d3dc,bonbanh.com,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2015-4312264,1656843559.399751,https://bonbanh.com/uploads/users/643546/car/4312264/l_1648885320.106.jpg,xe ford ranger xls 2.2l 4x2,520000000.0,2015,nhập khẩu,cũ,bán tải / pickup,"87,000 km",ghi,đen,4 cửa,5 chỗ,dầu,, tự động,rfd,l/100km,2.2 l,"DH Auto đang bán Ford Ranger sx2015 số tự động, một cầu, màu ghi."
dc5fc2c8-ac39-4dd8-b82a-d8f1c373f8cb,bonbanh.com,https://bonbanh.com/xe-hyundai-accent-1.4-at-dac-biet-2022-4255247,1656843559.378332,https://bonbanh.com/uploads/users/36149/car/4255247/l_1646038532.417.jpg,xe hyundai accent 1.4 at đặc biệt,530000000.0,2022,trong nước,mới,sedan,0 km,trắng,kem,4 cửa,5 chỗ,xăng,, tự động,fwd,7 l/100km,1.4 l,"Hyundai Accent 1.4AT ĐẶC BIỆT tiện nghi hiện đại như màn hình cảm ứng 7"",bản đồ, bluetooth, khởi động nút bấm,đầy đủ hệ thống an toàn ABS-ESC-VSM-HAC-TCS-BA và 6 túi khí. Ngoài ra trang bị Cruise Control,cảm biến gạt mưa+đèn tự động,"
1db5b495-d574-4982-ac68-ec3dd720c796,bonbanh.com,https://bonbanh.com/xe-mg-zs-standard-1.5-at-2wd-2020-3623320,1656843559.411962,https://bonbanh.com/uploads/users/562652/car/3623320/l_1610706615.644.jpg,xe mg zs standard 1.5 at 2wd,455000000.0,2020,nhập khẩu,mới,crossover,0 km,trắng,ghi,5 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,1.5 l,MG ZS Standard SIÊU PHẨM 100% NHẬP KHẨU .
5d799c0a-ecdb-4be9-9090-b1cb89ec8767,bonbanh.com,https://bonbanh.com/xe-chevrolet-spark-van-1.2-mt-2016-4463566,1656843559.424443,https://bonbanh.com/uploads/users/98835/car/4463566/l_1656732061.747.jpeg,xe chevrolet spark van 1.2 mt,148000000.0,2016,trong nước,cũ,hatchback,600 km,bạc,ghi,4 cửa,2 chỗ,xăng,, tay,fwd,5 l/100km,,"Em bán em Chevrolet Spark Van 2 chỗ đời 2016 đk 2017 1 chủ con gái sử dụng đi 6v sai tặng xe . Xe như mới zin từng con ốc, chính chủ sang tên nhanh gọn, đến xem là ưng ngay. Bao thợ xem hoặc kiểm tra hãng ! "
b2d4b410-dc2a-4c92-b98e-defda40a4c1a,bonbanh.com,https://bonbanh.com/xe-kia-cerato-1.6-mt-2021-4465603,1656843559.441646,https://bonbanh.com/uploads/users/172264/car/4465603/l_1656839898.917.jpeg,xe kia cerato 1.6 mt,519000000.0,2021,trong nước,cũ,sedan,"56,000 km",trắng,đen,4 cửa,5 chỗ,xăng,, tay,fwd,7 l/100km,,"Kia Cerato MT 2021, cực keng, đã lên nhiều option"
16d0d414-1fbd-4665-8406-7a6befade478,bonbanh.com,https://bonbanh.com/xe-bmw-4_series-430i-convertible-2018-4318862,1656843559.45475,https://bonbanh.com/uploads/users/94269/car/4318862/l_1649219737.986.jpg,xe bmw 4 series 430i convertible,2489000000.0,2018,nhập khẩu,cũ,convertible/cabriolet,"25,000 km",đỏ,màu khác,4 cửa,4 chỗ,xăng,, tự động,rfd,l/100km,2.0 l,Bmw 420 mui xếp 
ace0f944-faaf-42ad-9fa6-5de46d819ff7,bonbanh.com,https://bonbanh.com/xe-lexus-es-300h-2012-4449130,1656843559.504005,https://bonbanh.com/uploads/users/73434/car/4449130/l_1655988787.717.jpeg,xe lexus es 300h,1268000000.0,2012,nhập khẩu,cũ,sedan,"80,000 km",trắng,nâu,5 cửa,5 chỗ,hybrid,, tự động,fwd,l/100km,2.5 l,Xăng đang lên giá đi xe này quá ok 
0037e9e2-4944-4711-a47b-cd5b0b976d2b,bonbanh.com,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-at-2014-4452764,1656843559.628541,https://bonbanh.com/uploads/users/547500/car/4452764/l_1656140542.429.jpg,xe toyota corolla altis 1.8g,545000000.0,2014,trong nước,cũ,sedan,"110,000 km",đen,kem,4 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,1.8 l,Toyota Altis 1.8G sản xuất 2014
07f75b35-69bd-4aff-858a-7c187cf50483,bonbanh.com,https://bonbanh.com/xe-mercedes_benz-glc-250-4matic-2019-4464315,1656843560.081161,https://bonbanh.com/uploads/users/506015/car/4464315/l_1656756855.359.jpeg,xe mercedes benz glc 250 4matic,1730000000.0,2019,trong nước,cũ,suv,"27,000 km",đen,đen,5 cửa,5 chỗ,xăng,, tự động,awd,l/100km,,Mercedes_GLC250_4Matic
0eb2ecff-b273-47d8-b978-9619ee5d7c53,bonbanh.com,https://bonbanh.com/xe-nissan-teana-2.5-sl-2013-4298744,1656843560.102405,https://bonbanh.com/uploads/users/128387/car/4298744/l_1648200014.504.jpg,xe nissan teana 2.5 sl,600000000.0,2013,nhập khẩu,cũ,sedan,"96,000 km",ghi,kem,4 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,2.5 l,ID: 778.58
7154c419-2513-48f6-a673-1b5b39338348,bonbanh.com,https://bonbanh.com/xe-ford-ranger-wildtrak-2.2l-4x2-at-2014-4412559,1656843560.149651,https://bonbanh.com/uploads/users/149725/car/4412559/l_1654067696.366.jpg,xe ford ranger wildtrak 2.2l 4x2,498000000.0,2014,nhập khẩu,cũ,bán tải / pickup,"120,000 km",đỏ,đen,4 cửa,5 chỗ,dầu,, tự động,rfd,l/100km,2.2 l,Wiltrack 2.2 AT 2014 đk 2015
54c93f48-f4c2-4cf0-aaa2-d3aaa7a7d141,bonbanh.com,https://bonbanh.com/xe-mitsubishi-outlander-premium-2.0-cvt-2022-4437141,1656843561.218854,https://bonbanh.com/uploads/users/102872/car/4437141/l_1655348174.354.jpg,xe mitsubishi outlander premium 2.0 cvt,903000000.0,2022,trong nước,mới,suv,0 km,đỏ,đen,5 cửa,7 chỗ,xăng,, tự động,fwd,l/100km,2.0 l,Chương trình khuyến mãi siêu hấp dẫn
f7850eb9-8858-4d6b-adc4-6fdc96719c38,bonbanh.com,https://bonbanh.com/xe-mini-cooper-clubman-s-2022-4329974,1656843561.227869,https://bonbanh.com/uploads/users/547806/car/4329974/l_1649816654.755.jpg,xe mini cooper clubman s,2459000000.0,2022,nhập khẩu,mới,hatchback,0 km,xanh,nâu,3 cửa,5 chỗ,xăng,, tự động,fwd,6 l/100km,2.0 l,"MINI S Clubman máy 2.0 phối màu Xanh British Racing Green ngọc ngà, lãng mạn, nổi bật trên mọi nẻo đường"
5d40bd82-46cf-44e8-b518-2c6d6005e6f1,bonbanh.com,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-5.0-2015-4435110,1656843561.26509,https://bonbanh.com/uploads/users/627591/car/4435110/l_1655255102.212.jpeg,xe landrover range rover autobiography lwb 5.0,5099000000.0,2015,nhập khẩu,cũ,suv,"55,000 km",đen,kem,5 cửa,4 chỗ,xăng,, tự động,awd,11 l/100km,5.0 l,HÀNG VỪA CẬP BẾN 
46433ed2-df8a-430e-99b9-21a831ba1c8a,bonbanh.com,https://bonbanh.com/xe-mazda-3-1.5l-premium-2022-3876643,1656843561.456162,https://bonbanh.com/uploads/users/532479/car/3876643/l_1624270378.380.jpg,xe mazda 3 1.5l premium,745000000.0,2022,trong nước,mới,sedan,0 km,đỏ,đen,4 cửa,5 chỗ,xăng,phun xăng điện tử, tự động,fwd,6 l/100km,1.5 l,Mazda 3 1.5L Premiumvới khuyến mại Lớn trong tháng!
c49b42b3-ef42-4386-ad30-2418cbdc6225,bonbanh.com,https://bonbanh.com/xe-mazda-3-1.5-at-2016-4346807,1656843561.500556,https://bonbanh.com/uploads/users/353415/car/4346807/l_1655969995.783.jpg,xe mazda 3 1.5,475000000.0,2016,trong nước,cũ,sedan,"70,000 km",trắng,đen,4 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,1.5 l,Mazda - 3 1.5 AT
90ac86e0-a6d3-4a13-a2a5-48b2c804e775,bonbanh.com,https://bonbanh.com/xe-volvo-xc60-inscription-b6-awd-2022-3855794,1656843561.810562,https://bonbanh.com/uploads/users/170929/car/3855794/l_1641459535.jpg,xe volvo xc60 inscription b6 awd,2220000000.0,2022,nhập khẩu,mới,suv,0 km,xanh,nâu,5 cửa,5 chỗ,xăng,, tự động,awd,l/100km,2.0 l,Volvo XC60 B6 Inscription AWD model 2022 mới nhất - SUV hạng sang đến từ Bắc Âu.
7b01b25d-8cd2-4321-be0b-f8a25d3242af,bonbanh.com,https://bonbanh.com/xe-toyota-camry-2.4-g-2009-4465012,1656843561.866579,https://bonbanh.com/uploads/users/528797/car/4465012/l_1656816002.184.jpeg,xe toyota camry 2.4 g,405000000.0,2009,trong nước,cũ,sedan,"98,000 km",bạc,kem,4 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,,Camry 2.4 G xs 2009 độ chất cứ phải như gái lai Mỹ . 
e331deb6-de9f-4dfd-9d06-98284828ce4d,bonbanh.com,https://bonbanh.com/xe-bmw-z4-sdrive30i-m-sport-2022-4460329,1656843561.879012,https://bonbanh.com/uploads/users/65162/car/4460329/l_1656559245.913.jpg,xe bmw z4 sdrive30i m sport,3330000000.0,2022,nhập khẩu,cũ,convertible/cabriolet,"2,000 km",đỏ,đen,2 cửa,2 chỗ,xăng,, tự động,rfd,l/100km,2.0 l,"Salon Auto Siu Hùng Bán xe BMW Z4 SDriver 30i nhập khẩu, nội ngoại thất xe rất mới và đẹp. Xe mới lăn bánh 2000km. BMW Z4 sDrive30i được trang bị động cơ tăng áp 4 xy-lanh 2.0L, sản sinh công suất 258 mã lực tại 5.000-6.500 vòng/phút, mô-men xoắn 400 Nm tại 1.550-4.400 vòng/phút. Kết hợp với hộp số tự động 8 cấp và hệ dẫn động cầu sau, xe có thể tăng tốc 0-100 km/h trong 5,4 giây trước khi đạt tốc độ tối đa 250km/h... Cam kết xe không đâm đụng, ngâp nước, vui lòng liên hệ với chúng tôi để biết thêm thông tin về xe."
05a77299-871a-4e75-b620-9cc108e93a48,bonbanh.com,https://bonbanh.com/xe-mitsubishi-xpander-cross-1.5-at-2022-3513798,1656843561.912094,https://bonbanh.com/uploads/users/454928/car/3513798/l_1605003490.919.jpg,xe mitsubishi xpander cross 1.5,688000000.0,2022,nhập khẩu,mới,suv,0 km,cam,đen,5 cửa,7 chỗ,xăng,, tự động,fwd,l/100km,1.5 l,Chương trình khuyến mãi siêu hấp dẫn
dead27e6-004a-472a-8f08-8e2be340b94d,bonbanh.com,https://bonbanh.com/xe-honda-city-1.5-at-2016-4432748,1656843561.937593,https://bonbanh.com/uploads/users/375228/car/4432748/l_1655113839.677.jpg,xe honda city 1.5,439000000.0,2016,trong nước,cũ,sedan,"98,000 km",trắng,đen,4 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,1.5 l,Honda City CVT 2016
